Year,population,birth,death,increments,birthrate
1925,12997611,558897,359042,199855,6.59
1926,13052741,511667,337948,173719,
1927,13037169,534524,353818,180706,
1928,13105131,566142,357701,208441,
1929,13124279,566969,414366,152603,
1930,13880469,587144,322611,264533,6.41
1931,13895052,589428,346800,242628,
1932,14117191,600545,384287,216258,
1933,14229277,607021,336232,270789,
1934,14449155,618135,356515,261620,
1935,15061960,646158,377454,268704,6.6
1936,15114775,639355,381806,257549,
1937,15235383,636839,342575,294264,
1938,15358193,569299,347025,222274,
1939,15486028,585482,353391,232091,
1940,15559741,527964,358496,169468,6.56
1941,15745478,553690,366239,187451,
1942,16013742,533768,376003,157765,
1943,16239721,513846,384881,128965,
1944,16599172,533215,380121,153094,6.78
1945,16695819,544786,367308,177478,
1946,19369270,590763,410629,180134,
1947,19836234,686334,361019,325315,
1948,20027393,692948,374512,318436,
1949,20188641,696508,341188,355320,
1950,19211386,633976,597474,36502,5.05
1951,19304737,675666,579142,96524,
1952,19566860,722018,457865,264153,
1953,19979069,777186,363619,413567,
1954,20520601,839293,348850,490433,
1955,21168611,908134,295302,612832,6.33
1956,21897911,945990,294344,651646,
1957,22681233,963952,293344,670608,
1958,23490027,993628,291864,701764,
1959,24295786,1016173,289525,726648,
1960,25012374,1080535,285350,795185,6.16
1961,25765673,1046086,280846,765240,5.99
1962,26513030,1036659,270433,760266,5.79
1963,27261747,1033220,278070,755150,5.57
1964,27984155,1001833,279842,721991,5.36
1965,28704674,996052,272694,723358,5.16
1966,29435571,1030245,294356,735889,4.99
1967,30130983,1005295,242280,763013,4.84
1968,30838302,1043321,280308,763013,4.72
1969,31544266,1044943,270023,774920,4.62
1970,32240827,1006645,258589,748056,4.53
1971,32882704,1024773,237528,787245,4.54
1972,33505406,952780,210071,742709,4.12
1973,34103149,965521,267460,698061,4.07
1974,34692266,922823,248807,674016,3.77
1975,35280725,874030,270657,603373,3.43
1976,35848523,796331,266857,529474,3
1977,36411795,825339,249254,576085,2.99
1978,36969185,750728,252298,498430,2.64
1979,37534236,862669,239986,622683,2.9
1980,38123775,862835,277284,585551,2.82
1981,38723248,867409,237481,629928,2.57
1982,39326352,848312,245767,602545,2.39
1983,39910403,769155,254563,514592,2.06
1984,40405956,674793,236445,438348,1.74
1985,40805744,655489,240418,415071,1.66
1986,41213674,636019,239256,396763,1.58
1987,41621690,623831,243504,380327,1.53
1988,42031247,633092,235779,397313,1.55
1989,42449038,639431,236818,402613,1.56
1990,42869283,649738,241616,408122,1.57
1991,43295704,709275,242270,467005,1.71
1992,43747962,730678,236162,494516,1.76
1993,44194628,715826,234257,481569,1.654
1994,44641540,721185,242439,478746,1.656
1995,45092991,715020,242838,472182,1.634
1996,45524681,691226,241149,450077,1.574
1997,45953580,675394,241943,433451,1.537
1998,46286503,641594,243193,398401,1.464
1999,46616677,620668,245364,375304,1.425
2000,47008111,640089,246163,393326,1.48
2001,47370164,559934,241521,318413,1.309
2002,47644736,496911,245317,251594,1.178
2003,47892330,495096,244506,250590,1.191
2004,48082519,476958,244217,232741,1.164
2005,48184561,438707,243883,194824,1.085
2006,48438292,451759,242266,209593,1.132
2007,48683638,496822,244874,251948,1.259
2008,49054708,465892,246113,219779,1.192
2009,49307835,444849,246942,197907,1.149
2010,49554112,470171,255405,214766,1.226
2011,49936638,471265,257396,213869,1.244
2012,50199853,484550,267300,217000,1.297
2013,50428893,436455,266257,170198,1.187
2014,50746659,435435,267692,167743,1.205
2015,51014947,438420,275895,162925,1.239
2016,51217803,406243,280827,125416,1.172
2017,51361911,357771,285534,72237,1.052
2018,51585058,326822,298820,28002,0.977
2019,51764822,303054,295132,7922,0.918
2020,51836239,272337,304948,-32611,0.837
2021,51744876,260562,317680,-57118,0.808
