Year,population,birth,death,increments,birthrate
1925,"12,997,611 ","558,897 ","359,042 ","199,855 ",6.59
1926,"13,052,741 ","511,667 ","337,948 ","173,719 ",
1927,"13,037,169 ","534,524 ","353,818 ","180,706 ",
1928,"13,105,131 ","566,142 ","357,701 ","208,441 ",
1929,"13,124,279 ","566,969 ","414,366 ","152,603 ",
1930,"13,880,469 ","587,144 ","322,611 ","264,533 ",6.41
1931,"13,895,052 ","589,428 ","346,800 ","242,628 ",
1932,"14,117,191 ","600,545 ","384,287 ","216,258 ",
1933,"14,229,277 ","607,021 ","336,232 ","270,789 ",
1934,"14,449,155 ","618,135 ","356,515 ","261,620 ",
1935,"15,061,960 ","646,158 ","377,454 ","268,704 ",6.6
1936,"15,114,775 ","639,355 ","381,806 ","257,549 ",
1937,"15,235,383 ","636,839 ","342,575 ","294,264 ",
1938,"15,358,193 ","569,299 ","347,025 ","222,274 ",
1939,"15,486,028 ","585,482 ","353,391 ","232,091 ",
1940,"15,559,741 ","527,964 ","358,496 ","169,468 ",6.56
1941,"15,745,478 ","553,690 ","366,239 ","187,451 ",
1942,"16,013,742 ","533,768 ","376,003 ","157,765 ",
1943,"16,239,721 ","513,846 ","384,881 ","128,965 ",
1944,"16,599,172 ","533,215 ","380,121 ","153,094 ",6.78
1945,"16,695,819 ","544,786 ","367,308 ","177,478 ",
1946,"19,369,270 ","590,763 ","410,629 ","180,134 ",
1947,"19,836,234 ","686,334 ","361,019 ","325,315 ",
1948,"20,027,393 ","692,948 ","374,512 ","318,436 ",
1949,"20,188,641 ","696,508 ","341,188 ","355,320 ",
1950,"19,211,386 ","633,976 ","597,474 ","36,502 ",5.05
1951,"19,304,737 ","675,666 ","579,142 ","96,524 ",
1952,"19,566,860 ","722,018 ","457,865 ","264,153 ",
1953,"19,979,069 ","777,186 ","363,619 ","413,567 ",
1954,"20,520,601 ","839,293 ","348,850 ","490,433 ",
1955,"21,168,611 ","908,134 ","295,302 ","612,832 ",6.33
1956,"21,897,911 ","945,990 ","294,344 ","651,646 ",
1957,"22,681,233 ","963,952 ","293,344 ","670,608 ",
1958,"23,490,027 ","993,628 ","291,864 ","701,764 ",
1959,"24,295,786 ","1,016,173 ","289,525 ","726,648 ",
1960,"25,012,374 ","1,080,535 ","285,350 ","795,185 ",6.16
1961,"25,765,673 ","1,046,086 ","280,846 ","765,240 ",5.99
1962,"26,513,030 ","1,036,659 ","270,433 ","760,266 ",5.79
1963,"27,261,747 ","1,033,220 ","278,070 ","755,150 ",5.57
1964,"27,984,155 ","1,001,833 ","279,842 ","721,991 ",5.36
1965,"28,704,674 ","996,052 ","272,694 ","723,358 ",5.16
1966,"29,435,571 ","1,030,245 ","294,356 ","735,889 ",4.99
1967,"30,130,983 ","1,005,295 ","242,280 ","763,013 ",4.84
1968,"30,838,302 ","1,043,321 ","280,308 ","763,013 ",4.72
1969,"31,544,266 ","1,044,943 ","270,023 ","774,920 ",4.62
1970,"32,240,827 ","1,006,645 ","258,589 ","748,056 ",4.53
1971,"32,882,704 ","1,024,773 ","237,528 ","787,245 ",4.54
1972,"33,505,406 ","952,780 ","210,071 ","742,709 ",4.12
1973,"34,103,149 ","965,521 ","267,460 ","698,061 ",4.07
1974,"34,692,266 ","922,823 ","248,807 ","674,016 ",3.77
1975,"35,280,725 ","874,030 ","270,657 ","603,373 ",3.43
1976,"35,848,523 ","796,331 ","266,857 ","529,474 ",3
1977,"36,411,795 ","825,339 ","249,254 ","576,085 ",2.99
1978,"36,969,185 ","750,728 ","252,298 ","498,430 ",2.64
1979,"37,534,236 ","862,669 ","239,986 ","622,683 ",2.9
1980,"38,123,775 ","862,835 ","277,284 ","585,551 ",2.82
1981,"38,723,248 ","867,409 ","237,481 ","629,928 ",2.57
1982,"39,326,352 ","848,312 ","245,767 ","602,545 ",2.39
1983,"39,910,403 ","769,155 ","254,563 ","514,592 ",2.06
1984,"40,405,956 ","674,793 ","236,445 ","438,348 ",1.74
1985,"40,805,744 ","655,489 ","240,418 ","415,071 ",1.66
1986,"41,213,674 ","636,019 ","239,256 ","396,763 ",1.58
1987,"41,621,690 ","623,831 ","243,504 ","380,327 ",1.53
1988,"42,031,247 ","633,092 ","235,779 ","397,313 ",1.55
