deviceId,mon,caution,fall
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/01,35,1
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/06,4,0
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/07,130,6
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/08,94,3
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/09,31,0
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/10,35,0
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/11,48,1
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/12,54,1
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/01,58,0
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/07,4,0
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/08,3,0
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/09,18,0
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/10,3,0
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/11,3,0
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/12,109,0
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/01,52,0
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/06,17,0
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/07,1375,21
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/08,498,16
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/09,344,2
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/10,54,0
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/11,130,3
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/12,94,4
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/01,15,0
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/06,4,0
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/07,46,0
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/08,9,0
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/09,23,0
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/10,19,1
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/11,167,0
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/12,74,0
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/06,121,4
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/07,2173,87
