deviceId,mon,label,cnt
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/06,caution,4
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/07,caution,130
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/07,fall,6
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/08,caution,94
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/08,fall,3
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/09,caution,31
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/10,caution,35
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/11,caution,48
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/11,fall,1
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/12,caution,54
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/12,fall,1
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/01,caution,35
id_MzA6QUU6QTQ6RTI6RTA6NEM,23/01,fall,1
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/07,caution,4
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/08,caution,3
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/09,caution,18
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/10,caution,3
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/11,caution,3
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/12,caution,109
id_MzA6QUU6QTQ6RTM6OTc6RjQ,23/01,caution,58
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/06,caution,17
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/07,caution,1375
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/07,fall,21
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/08,caution,498
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/08,fall,16
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/09,caution,344
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/09,fall,2
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/10,caution,54
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/11,caution,130
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/11,fall,3
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/12,caution,94
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/12,fall,4
id_MzA6QUU6QTQ6RTM6RTA6M0M,23/01,caution,52
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/06,caution,4
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/07,caution,46
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/08,caution,9
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/09,caution,23
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/10,caution,19
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/10,fall,1
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/11,caution,167
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/12,caution,74
id_MzA6QUU6QTQ6RTM6RTA6MzA,23/01,caution,15
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/06,caution,121
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/06,fall,4
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/07,caution,2173
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/07,fall,87
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/08,caution,2721
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/08,fall,32
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/10,caution,11
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/11,caution,5
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/12,caution,66
id_MzA6QUU6QTQ6RTM6RTk6RTQ,23/12,fall,2
id_MzQ6QUI6OTU6NzE6OTc6RDQ,23/07,caution,7
id_MzQ6QUI6OTU6NzE6OTc6RDQ,23/08,caution,22
id_MzQ6QUI6OTU6NzE6OTc6RDQ,23/09,caution,13
id_MzQ6QUI6OTU6NzE6OTc6RDQ,23/10,caution,10
id_MzQ6QUI6OTU6NzE6OTc6RDQ,23/11,caution,1
id_MzQ6QUI6OTU6NzE6OTc6RDQ,23/12,caution,15
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/11,caution,29
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/11,fall,3
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/12,caution,1481
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/12,fall,16
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/01,caution,4148
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/01,fall,43
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/02,caution,4426
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/02,fall,18
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/03,caution,3247
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/03,fall,49
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/04,caution,3612
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/04,fall,23
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/05,caution,10588
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/05,fall,47
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/06,caution,3619
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/06,fall,3
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/07,caution,418
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/07,fall,2
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/08,caution,345
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/08,fall,4
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/09,caution,244
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/09,fall,1
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/10,caution,168
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/10,fall,1
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/11,caution,205
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/11,fall,1
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/12,caution,74
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/12,fall,1
id_MzQ6QUI6OTU6NzE6OTg6QzA,23/01,caution,37
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/11,caution,44
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/11,fall,3
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/02,caution,324
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/02,fall,4
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/03,caution,1393
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/03,fall,6
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/04,caution,859
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/04,fall,3
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/06,caution,175
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/07,caution,507
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/07,fall,25
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/08,caution,237
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/08,fall,13
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/09,caution,48
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/09,fall,3
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/10,caution,20
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/11,caution,22
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/12,caution,8
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/01,caution,8
id_MzQ6QUI6OTU6NzE6OTk6MDg,23/01,fall,3
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/06,caution,2
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/07,caution,21
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/08,caution,69
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/08,fall,1
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/09,caution,45
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/09,fall,1
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/10,caution,49
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/11,caution,324
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/11,fall,1
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/12,caution,304
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/12,fall,1
id_MzQ6QUI6OTU6NzE6OTU6NzA,23/01,caution,32
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/11,caution,442
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/11,fall,5
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/12,caution,1910
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/12,fall,86
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/01,caution,4964
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/01,fall,46
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/02,caution,2173
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/02,fall,15
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/03,caution,7338
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/03,fall,77
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/04,caution,4567
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/04,fall,55
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/05,caution,6899
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/05,fall,17
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/06,caution,2465
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/06,fall,22
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/07,caution,229
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/07,fall,2
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/08,caution,385
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/08,fall,12
id_MzQ6QUI6OTU6NzE6OTU6QjA,23/09,caution,882
