deviceId,mon,caution,fall
#01,23/01,35,1
#01,23/07,130,6
#01,23/08,94,3
#01,23/11,48,1
#01,23/12,54,1
#02,23/07,1375,21
#02,23/08,498,16
#02,23/09,344,2
#02,23/11,130,3
#02,23/12,94,4
#03,23/10,19,1
#03,23/12,74,0
#04,23/06,121,4
#04,23/07,2173,87
#04,23/08,2721,32
#04,23/10,11,0
#04,23/11,5,0
#04,23/12,66,2
#05,23/01,32,0
#05,23/06,2,0
#05,23/07,21,0
#05,23/08,69,1
#05,23/09,45,1
#05,23/10,49,0
#05,23/11,324,1
#05,23/12,304,1
#06,23/01,2517.5,46
#06,23/02,2173,15
#06,23/03,7338,77
#06,23/04,4567,55
#06,23/05,2899,17
#06,23/06,2465,22
#06,23/07,229,2
#06,23/08,385,12
#06,23/09,882,28
#06,23/10,68,1
#06,23/12,1011,86
#07,23/01,24,1
#07,23/02,34,1
#07,23/04,166,1
#07,23/05,47,2
#07,23/06,11,0
#07,23/07,93,0
#07,23/08,48,0
#07,23/09,96,1
#07,23/10,451,9
#07,23/11,64,0
#07,23/12,69,0
#08,23/01,911,13.5
#08,23/02,2291,38
#08,23/03,2537,29
#08,23/04,3420,24
#08,23/05,2808,12
#08,23/06,4615,20
#08,23/07,113,2
#08,23/08,4023,82
#08,23/09,2805,21
#08,23/10,19,2
#08,23/11,8,1
#08,23/12,249.5,8
#09,23/01,7,0
#09,23/06,86,0
#09,23/10,61,0
#09,23/11,75,0
#09,23/12,9,0
#10,23/01,2101,9
#10,23/02,3108,21
#10,23/03,3631,16
#10,23/04,3624,16
#10,23/05,2729,10
#10,23/06,319,2
#10,23/07,34,1
#10,23/08,35,0
#10,23/09,1,0
#10,23/11,14,1
#10,23/12,18,0
#11,23/10,1,0
#12,23/07,7,0
#12,23/08,22,0
#12,23/09,13,0
#12,23/10,10,0
#12,23/11,1,0
#12,23/12,15,0
#13,23/01,2092.5,43
#13,23/02,4426,18
#13,23/03,3247,49
#13,23/04,3612,23
#13,23/05,10588,47
#13,23/07,418,2
#13,23/08,345,4
#13,23/09,244,1
#13,23/10,168,1
#13,23/11,117,2
#13,23/12,777,8
#14,23/01,8,3
#14,23/02,324,4
#14,23/03,1393,6
#14,23/07,507,25
#14,23/08,237,13
#14,23/09,48,3
#14,23/10,20,0
#14,23/11,33,3
#14,23/12,8,0
#15,23/01,4,0
#15,23/06,6,0
#15,23/07,29,0
#15,23/08,7,0
#15,23/09,9,0
#15,23/10,15,0
#15,23/11,14,0
#15,23/12,9,0
#16,23/01,8927,66
#16,23/02,9200,65
#16,23/05,667,5
#16,23/06,430,4
#16,23/11,3,0
#17,23/02,7,0
#17,23/03,118,1
#17,23/04,3,0
#17,23/05,17,0
#17,23/06,38,0
#17,23/07,23,0
#17,23/08,34,0
#18,23/01,32,0
#18,23/06,39,2
#18,23/07,201,1
#18,23/09,120,1
#18,23/11,228,1
#18,23/12,92,0
#19,23/01,35,2
#19,23/06,5,0
#19,23/07,165,1
#19,23/08,425,5
#19,23/09,468,4
#19,23/10,538,17
#19,23/11,418,13
#19,23/12,118,1
#20,23/01,91,2
#20,23/06,10,1
#20,23/07,84,1
#20,23/08,75,0
#20,23/09,211,6
#20,23/10,120,0
#20,23/11,511,1
#20,23/12,383,1
#21,23/04,68,0
#21,23/05,358,1
#21,23/06,237,3
#21,23/07,157,1
#21,23/08,133,1
#21,23/09,2,0
#22,23/06,206,0
#22,23/07,1209,9
#22,23/09,108,1
#22,23/10,129,3
#22,23/11,58,0
#22,23/12,15,0
#23,23/08,683,1
#23,23/09,70,0
#24,23/01,70,0
#24,23/06,3,0
#24,23/07,60,2
#24,23/08,155,4
#24,23/09,49,2
#24,23/10,153,1
#24,23/11,377,4
#24,23/12,174,0
#25,23/01,47,0
#25,23/06,15,0
#25,23/08,571,2
#25,23/09,244,4
#25,23/10,1016,5
#25,23/11,335,2
#25,23/12,115,1
#26,23/01,686,8
#26,23/02,894,9
#26,23/03,1822,24
#26,23/04,1732,7
#26,23/08,982,7
#26,23/09,3398,16
#26,23/10,2300,23
#26,23/11,2021,6
#26,23/12,661,8
#27,23/01,64,0
#27,23/06,7,0
#27,23/07,189,2
#27,23/08,62,0
#27,23/09,191,0
#27,23/10,110,0
#27,23/11,494,2
#28,23/01,119,0
#28,23/06,46,0
#28,23/07,86,0
#28,23/08,42,0
#28,23/09,180,1
#28,23/11,548,1
#29,23/01,12,0
#29,23/06,78,2
#29,23/07,792,17
#29,23/08,12,1
#29,23/09,86,3
#29,23/10,343,16
#29,23/11,10,1
#29,23/12,49,0
#30,23/01,2974.5,36
#30,23/02,6600,52
#30,23/04,8125,118
#30,23/05,12676,87
#30,23/06,8141,52
#30,23/07,3097,18
#30,23/08,2367,12
#30,23/09,2093,9
#30,23/10,2125,10
#30,23/11,1612,16
#30,23/12,727,8
#31,23/01,21,0
#31,23/03,3,0
#31,23/04,841,2
#31,23/05,201,3
#31,23/06,8,0
#31,23/07,251,1
#31,23/08,148,0
#31,23/09,107,1
#31,23/10,34,1
#31,23/12,138,0
#32,23/01,44,3
#32,23/06,15,0
#32,23/07,504,38
#32,23/08,20,0
#32,23/09,130,3
#32,23/10,115,2
#32,23/11,227,2
#32,23/12,207,2
#33,23/01,2942,35
#33,23/02,4450,34
#33,23/03,463,10
#33,23/04,1500,19
#33,23/05,3858,26
#33,23/06,3239,19
#33,23/07,843,5
#33,23/08,1652,15
#33,23/09,1307,7
#33,23/10,232,3
#33,23/11,288.5,5
#33,23/12,918,10
#34,23/04,137,0
#34,23/05,378,6
#34,23/06,248,9
#34,23/07,392,13
#34,23/08,218,7
#35,23/09,33,0
#36,23/01,5062,103
#36,23/02,1593,27
#36,23/04,9053,54
#36,23/05,6140,83
#36,23/06,1074,17
#36,23/07,19,0
#36,23/08,20,0
#36,23/09,1,0
#37,23/06,110,0
#37,23/07,834,5
#37,23/08,1626,9
#37,23/09,1472,6
#37,23/12,68,3
#38,23/07,1,0
#39,23/06,164,2
#39,23/07,926,10
#39,23/08,796,16
#39,23/09,3,0
#39,23/10,26,1
#39,23/12,3,0
#40,23/01,19,2
#40,23/06,21,0
#40,23/07,46,0
#40,23/08,34,1
#40,23/09,94,0
#40,23/10,20,0
#40,23/11,37,0
#40,23/12,42,0
#41,23/01,5,0
#41,23/06,18,0
#41,23/07,71,2
#41,23/08,754,18
