day,ïsç›,ñ¢äàìÆ,äàìÆ,íçà”,ì]ì|
09/01,0,19,82,3,0
09/02,0,3,13,0,0
09/03,0,39,64,0,0
09/04,0,22,100,3,0
09/05,0,19,94,11,1
09/06,0,18,80,10,0
09/07,0,13,68,4,0
09/08,0,28,54,0,0
09/09,0,28,72,0,0
09/10,0,8,9,0,0
09/11,0,1,3,0,0
09/12,0,22,14,0,0
09/13,0,26,11,1,0
09/14,0,5,12,0,0
09/15,0,14,30,1,0
09/16,0,4,22,2,0
09/17,0,25,30,0,0
09/18,0,26,64,5,3
09/19,0,32,73,8,0
09/20,0,18,55,6,0
09/21,0,27,63,5,0
09/22,0,26,47,10,0
09/23,0,33,55,1,0
09/24,0,36,49,0,0
09/25,0,35,46,0,0
09/26,0,28,49,0,0
09/27,0,30,24,1,0
09/28,0,31,49,0,0
09/29,0,29,44,0,0
09/30,0,15,36,0,0
