deviceId,ïsç›,ñ¢äàìÆ,äàìÆ,íçà”,ì]ì|
#01,2793,843,664,20,0
#02,3906,175,236,3,0
#03,2827,275,1042,174,2
#04,1046,613,2647,14,0
#05,1046,650,2606,17,1
#06,1442,784,2057,36,1
#07,594,429,3297,0,0
#08,1439,436,2445,0,0
#09,2540,386,1223,171,0
#10,2492,751,1077,0,0
#11,2641,708,961,10,0
#12,1637,701,1963,16,3
#13,2120,648,1545,7,0
#14,1679,408,2181,51,1
#15,1172,744,2262,138,4
#16,1327,569,2309,109,6
#17,2014,474,1765,66,1
#18,1587,1224,1481,26,2
#19,2173,660,1412,71,4
#20,1253,511,2458,98,0
#21,1494,523,2194,108,1
#22,1982,772,1528,36,2
#23,1376,532,2379,32,1
#24,1871,854,1530,62,3
#25,2080,655,1141,438,6
#26,2374,95,1851,0,0
#27,4150,80,89,1,0
#28,891,456,2918,55,0
#29,1435,671,2153,60,1
